date,beg_balance,pnl,dividend,fees,deposit,withdraw,end_balance
"Jan 2006","1,545.96","0.00","5.25","0.00","0.00","0.00","1,551.21"
"Dec 2005","1,540.89","0.00","5.07","0.00","0.00","0.00","1,545.96"
"Nov 2005","1,536.25","0.00","4.64","0.00","0.00","0.00","1,540.89"
"Oct 2005","1,531.73","0.00","4.52","0.00","0.00","0.00","1,536.25"
"Sep 2005","1,527.60","0.00","4.13","0.00","0.00","0.00","1,531.73"
"Aug 2005","1,523.53","0.00","4.07","0.00","0.00","0.00","1,527.60"
"Jul 2005","1,519.72","0.00","3.81","0.00","0.00","0.00","1,523.53"
"Jun 2005","1,516.27","0.00","3.45","0.00","0.00","0.00","1,519.72"
"May 2005","1,512.83","0.00","3.44","0.00","0.00","0.00","1,516.27"
"Apr 2005","1,134.88","0.00","2.95","0.00","375.00","0.00","1,512.83"
"Mar 2005","1,132.67","0.00","2.21","0.00","0.00","0.00","1,134.88"
"Feb 2005","1,130.87","0.00","1.80","0.00","0.00","0.00","1,132.67"
"Jan 2005","1,129.03","0.00","1.84","0.00","0.00","0.00","1,130.87"
"Dec 2004","1,002.53","0.00","1.50","0.00","125.00","0.00","1,129.03"
"Nov 2004","751.58","0.00","0.95","0.00","250.00","0.00","1,002.53"
"Oct 2004","500.92","0.00","0.66","0.00","250.00","0.00","751.58"
"Sep 2004","500.41","0.00","0.51","0.00","0.00","0.00","500.92"

