Date,Investment,Type,Amount,Shares,,
12/31/2010,FID INFLAT PROT BOND,Dividends and Interest,5.65,0.49,,
12/15/2010,FID SEL WIRELESS,CONTRIBUTION,127.40,16.83,,
12/15/2010,FID SEL TECHNOLOGY,CONTRIBUTION,127.40,1.35,,
12/15/2010,FID SEL ENERGY,CONTRIBUTION,127.40,2.55,,
12/15/2010,FID SEL CONS STAPLES,CONTRIBUTION,127.40,1.89,,
12/15/2010,FID LATIN AMERICA,CONTRIBUTION,127.40,2.25,,
12/10/2010,FID SEL NATURAL RES,Dividends and Interest,62.75,1.88,,
12/10/2010,FID SEL ENERGY,Dividends and Interest,15.62,0.31,,
12/10/2010,FID SEL CONS STAPLES,Dividends and Interest,713.65,10.65,,
12/03/2010,FID VALUE K,Dividends and Interest,388.09,5.82,,
12/03/2010,FID SEL WIRELESS,Dividends and Interest,330.99,44.13,,
12/03/2010,FID LATIN AMERICA,Dividends and Interest,26.65,0.46,,
12/01/2010,FID SEL WIRELESS,CONTRIBUTION,127.40,16.99,,
12/01/2010,FID SEL TECHNOLOGY,CONTRIBUTION,127.40,1.38,,
12/01/2010,FID SEL ENERGY,CONTRIBUTION,127.40,2.59,,
12/01/2010,FID SEL CONS STAPLES,CONTRIBUTION,127.40,1.88,,
12/01/2010,FID LATIN AMERICA,CONTRIBUTION,127.40,2.23,,
11/30/2010,FID NEW MARKETS INC,Dividends and Interest,24.72,1.56,,
12/17/2010,FID INFLAT PROT BOND,Dividends and Interest,40.51,3.48,,
11/30/2010,FID HIGH INCOME,Dividends and Interest,15.75,1.77,,
11/30/2010,FID CAPITAL &amp; INCOME,Dividends and Interest,54.52,5.88,,
11/17/2010,FID SEL WIRELESS,CONTRIBUTION,127.40,17.19,,
11/17/2010,FID SEL TECHNOLOGY,CONTRIBUTION,127.40,1.45,,
11/17/2010,FID SEL ENERGY,CONTRIBUTION,127.40,2.71,,
11/17/2010,FID SEL CONS STAPLES,CONTRIBUTION,127.40,1.90,,
11/17/2010,FID LATIN AMERICA,CONTRIBUTION,127.40,2.25,,
11/03/2010,FID SEL WIRELESS,CONTRIBUTION,127.40,16.65,,
11/03/2010,FID SEL TECHNOLOGY,CONTRIBUTION,127.40,1.41,,
11/03/2010,FID SEL ENERGY,CONTRIBUTION,127.40,2.80,,
11/03/2010,FID SEL CONS STAPLES,CONTRIBUTION,127.40,1.87,,
11/03/2010,FID LATIN AMERICA,CONTRIBUTION,127.40,2.17,,
10/29/2010,FID NEW MARKETS INC,Dividends and Interest,25.92,1.58,,
11/30/2010,FID INFLAT PROT BOND,Dividends and Interest,5.25,0.44,,
10/29/2010,FID HIGH INCOME,Dividends and Interest,16.15,1.79,,
10/29/2010,FID CAPITAL &amp; INCOME,Dividends and Interest,56.88,6.05,,
10/20/2010,FID SEL WIRELESS,CONTRIBUTION,127.40,17.03,,
10/20/2010,FID SEL TECHNOLOGY,CONTRIBUTION,127.40,1.47,,
10/20/2010,FID SEL ENERGY,CONTRIBUTION,127.40,2.86,,
10/20/2010,FID SEL CONS STAPLES,CONTRIBUTION,127.40,1.89,,
10/20/2010,FID LATIN AMERICA,CONTRIBUTION,127.40,2.22,,
09/30/2010,FID NEW MARKETS INC,Dividends and Interest,25.00,1.54,,
10/29/2010,FID INFLAT PROT BOND,Dividends and Interest,5.36,0.44,,
09/30/2010,FID HIGH INCOME,Dividends and Interest,16.02,1.81,,
09/30/2010,FID CAPITAL &amp; INCOME,Dividends and Interest,54.13,5.96,,
09/29/2010,FID LATIN AMERICA,Dividends and Interest,38.58,0.70,,
09/08/2010,FID SEL WIRELESS,CONTRIBUTION,225.84,32.13,,
09/08/2010,FID SEL TECHNOLOGY,CONTRIBUTION,225.84,2.90,,
09/08/2010,FID SEL ENERGY,CONTRIBUTION,225.86,5.59,,
09/08/2010,FID SEL CONS STAPLES,CONTRIBUTION,225.84,3.60,,
09/08/2010,FID LATIN AMERICA,CONTRIBUTION,225.84,4.28,,
08/31/2010,FID NEW MARKETS INC,Dividends and Interest,29.62,1.85,,
09/30/2010,FID INFLAT PROT BOND,Dividends and Interest,5.14,0.44,,
08/31/2010,FID HIGH INCOME,Dividends and Interest,16.61,1.93,,
08/31/2010,FID CAPITAL &amp; INCOME,Dividends and Interest,55.23,6.33,,
08/11/2010,FID SEL WIRELESS,CONTRIBUTION,276.02,40.59,,
08/11/2010,FID SEL TECHNOLOGY,CONTRIBUTION,276.02,3.68,,
08/11/2010,FID SEL ENERGY,CONTRIBUTION,276.04,6.87,,
08/11/2010,FID SEL CONS STAPLES,CONTRIBUTION,276.04,4.48,,
08/11/2010,FID LATIN AMERICA,CONTRIBUTION,276.04,5.51,,
07/30/2010,FID NEW MARKETS INC,Dividends and Interest,24.58,1.56,,
08/31/2010,FID INFLAT PROT BOND,Dividends and Interest,5.31,0.45,,
07/30/2010,FID HIGH INCOME,Dividends and Interest,16.96,1.95,,
07/30/2010,FID CAPITAL &amp; INCOME,Dividends and Interest,56.47,6.40,,
07/07/2010,FID SEL WIRELESS,CONTRIBUTION,276.02,42.01,,
