Date,Open,High,Low,Close,Adj Close,Volume
2019-05-06,38.020000,38.020000,38.020000,38.020000,38.020000,0
2019-05-07,37.560001,37.560001,37.560001,37.560001,37.560001,0
2019-05-08,37.770000,37.770000,37.770000,37.770000,37.770000,0
2019-05-09,37.830002,37.830002,37.830002,37.830002,37.830002,0
2019-05-10,37.970001,37.970001,37.970001,37.970001,37.970001,0
2019-05-13,37.130001,37.130001,37.130001,37.130001,37.130001,0
2019-05-14,37.779999,37.779999,37.779999,37.779999,37.779999,0
2019-05-15,37.950001,37.950001,37.950001,37.950001,37.950001,0
2019-05-16,38.340000,38.340000,38.340000,38.340000,38.340000,0
2019-05-17,37.750000,37.750000,37.750000,37.750000,37.750000,0
2019-05-20,37.639999,37.639999,37.639999,37.639999,37.639999,0
2019-05-21,38.230000,38.230000,38.230000,38.230000,38.230000,0
2019-05-22,37.230000,37.230000,37.230000,37.230000,37.230000,0
2019-05-23,35.599998,35.599998,35.599998,35.599998,35.599998,0
2019-05-24,35.639999,35.639999,35.639999,35.639999,35.639999,0
2019-05-28,35.439999,35.439999,35.439999,35.439999,35.439999,0
2019-05-29,35.240002,35.240002,35.240002,35.240002,35.240002,0
2019-05-30,34.630001,34.630001,34.630001,34.630001,34.630001,0
2019-05-31,34.060001,34.060001,34.060001,34.060001,34.060001,0
2019-06-03,34.450001,34.450001,34.450001,34.450001,34.450001,0
2019-06-04,35.040001,35.040001,35.040001,35.040001,35.040001,0
2019-06-05,34.380001,34.380001,34.380001,34.380001,34.380001,0
2019-06-06,34.919998,34.919998,34.919998,34.919998,34.919998,0
2019-06-07,35.119999,35.119999,35.119999,35.119999,35.119999,0
2019-06-10,35.209999,35.209999,35.209999,35.209999,35.209999,0
2019-06-11,35.299999,35.299999,35.299999,35.299999,35.299999,0
2019-06-12,34.580002,34.580002,34.580002,34.580002,34.580002,0
2019-06-13,35.130001,35.130001,35.130001,35.130001,35.130001,0
2019-06-14,34.770000,34.770000,34.770000,34.770000,34.770000,0
2019-06-17,35.150002,35.150002,35.150002,35.150002,35.150002,0
2019-06-18,35.730000,35.730000,35.730000,35.730000,35.730000,0
2019-06-19,35.709999,35.709999,35.709999,35.709999,35.709999,0
2019-06-20,36.639999,36.639999,36.639999,36.639999,36.639999,0
2019-06-21,36.820000,36.820000,36.820000,36.820000,36.820000,0
2019-06-24,36.419998,36.419998,36.419998,36.419998,36.419998,0
2019-06-25,36.180000,36.180000,36.180000,36.180000,36.180000,0
2019-06-26,36.970001,36.970001,36.970001,36.970001,36.970001,0
2019-06-27,36.709999,36.709999,36.709999,36.709999,36.709999,0
2019-06-28,37.160000,37.160000,37.160000,37.160000,37.160000,0
2019-07-01,37.259998,37.259998,37.259998,37.259998,37.259998,0
2019-07-02,36.310001,36.310001,36.310001,36.310001,36.310001,0
2019-07-03,36.459999,36.459999,36.459999,36.459999,36.459999,0
2019-07-05,36.610001,36.610001,36.610001,36.610001,36.610001,0
2019-07-08,36.580002,36.580002,36.580002,36.580002,36.580002,0
2019-07-09,36.560001,36.560001,36.560001,36.560001,36.560001,0
2019-07-10,37.169998,37.169998,37.169998,37.169998,37.169998,0
2019-07-11,37.160000,37.160000,37.160000,37.160000,37.160000,0
2019-07-12,37.290001,37.290001,37.290001,37.290001,37.290001,0
2019-07-15,36.740002,36.740002,36.740002,36.740002,36.740002,0
2019-07-16,36.340000,36.340000,36.340000,36.340000,36.340000,0
2019-07-17,35.759998,35.759998,35.759998,35.759998,35.759998,0
2019-07-18,35.830002,35.830002,35.830002,35.830002,35.830002,0
2019-07-19,36.080002,36.080002,36.080002,36.080002,36.080002,0
2019-07-22,36.189999,36.189999,36.189999,36.189999,36.189999,0
2019-07-23,36.340000,36.340000,36.340000,36.340000,36.340000,0
2019-07-24,36.520000,36.520000,36.520000,36.520000,36.520000,0
2019-07-25,35.830002,35.830002,35.830002,35.830002,35.830002,0
2019-07-26,35.599998,35.599998,35.599998,35.599998,35.599998,0
2019-07-29,35.330002,35.330002,35.330002,35.330002,35.330002,0
2019-07-30,36.049999,36.049999,36.049999,36.049999,36.049999,0
2019-07-31,36.060001,36.060001,36.060001,36.060001,36.060001,0
2019-08-01,34.910000,34.910000,34.910000,34.910000,34.910000,0
2019-08-02,34.560001,34.560001,34.560001,34.560001,34.560001,0
